Date,City,Venue,Bands,Notes
2013-07-09,"Virginia Beach, VA",Farm Bureau Live,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-10,"Columbia, MD",Merriweather Post Pavillion,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-11,"Mansfield, MA",Comcast Center,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-12,"Camden, NJ",Susquehanna Bank Center,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-13,"New York, NY",Nassau Coliseum,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-14,"Hartford, CT",Comcast Theatre,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-16,"Scranton, PA",Toyota Pavillion,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-17,"Pittsburgh, PA",First Niagara Pavillion,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-18,"Cleveland, OH",Blossom Music Center,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns, Defeater + more",Vans Warped Tour

2013-07-19,"Pontiac, MI",The Palace of Auburn Hills,"Bring Me The Horizon, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns, Defeater + more",Vans Warped Tour

2013-07-20,"Chicago, IL",First Midwest Bank Amphitheatre,"Bring Me The Horizon, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns, Defeater + more",Vans Warped Tour

2013-07-21,"Shakopee, MN",Canterbury Park,"Bring Me The Horizon, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns, Defeater + more",Vans Warped Tour

2013-07-23,"Bonner Springs, KS",Cricket Wireless Amphitheatre,"Bring Me The Horizon, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns, Defeater + more",Vans Warped Tour

2013-07-24,"St. Louis, MO",Verizon Wireless Amphitheatre,"Bring Me The Horizon, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns, Defeater + more",Vans Warped Tour

2013-07-25,"Atlanta, GA",Aaron's Amphitheatre,"Bring Me The Horizon, The Used, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-26,"St. Petersburg, FL",Vinoy Park,"Bring Me The Horizon, The Used, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-27,"West Palm Beach, FL",Cruzan Amphitheatre,"Bring Me The Horizon, The Used, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-28,"Orlando, FL",Central Florida Fairgrounds,"Bring Me The Horizon, The Used, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-29,"Charlotte, NC",Verizon Wireless Amphitheatre,"Bring Me The Horizon, The Used, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-30,"Cincinnati, OH",Riverbend Music Center,"Bring Me The Horizon, The Used, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-31,"Milwaukee, WI",Marcus Amphitheatre,"Bring Me The Horizon, The Used, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-08-02,"Dallas, TX",Gexa Energy Pavillion,"Bring Me The Horizon, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns, Defeater + more",Vans Warped Tour

2013-08-03,"San Antonio, TX",AT&T Center,"Bring Me The Horizon, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns, Defeater + more",Vans Warped Tour

2013-08-04,"Houston, TX",Reliant Park,"Bring Me The Horizon, Billy Talent, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns, Defeater + more",Vans Warped Tour

2013-10-02,"Grand Rapids, MI",The Intersection,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-03,"St. Louis, MO",The Pagent,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-04,"Lawrence, KS",Granada Theatre,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-05,"Denver, CO",Summit Music Hall,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-06,"Salt Lake City, UT",Murray Theatre,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-07,"Las Vegas, NV",Hard Rock Cafe,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-09,"Chico, CA",Senator Theatre,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-10,"San Francisco, CA",DNA Lounge,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-11,"Anaheim, CA",House of Blues,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-12,"San Diego, CA",SOMA,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-13,"Mesa, AZ",The Nile,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-15,"Albuquerque, NM",Sunshine Theatre,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-16,"Odessa, TX",Club Patron,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-17,"Austin, TX",Emo's East,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-18,"Dallas, TX",House of Blues,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-19,"Houston, TX",House of Blues,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-20,"New Orleans, LA",House of Blues,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-21,"Orlando, FL",House of Blues,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-23,"Ft. Lauderdale, FL",Revolution,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-24,"Jacksonville, FL",Roc Bar,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-25,"Raleigh, NC",Lincoln Theatre,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-26,"Douglasville, GA",The 7 Venue,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",BBQ Fest

2013-10-27,"Charlotte, NC",The Fillmore,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-29,"Silver Spring, MD",The Fillmore,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-30,"Philadelphia, PA",Electric Factory,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-10-31,"New York, NY",Irving Plaza,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-11-01,"Cleveland, OH",Agora Theatre,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-11-02,"Chicago, IL",House of Blues,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-11-03,"Detroit, MI",Saint Andrew's Hall,"We Came As Romans, Chunk! No, Captain Chunk!, The Color Morale, Dangerkids",

2013-11-05,"Syracuse, NY",Lost Horizon,,

2013-11-06,"Clifton Park, NY",Upstate Concert Hall,Glass Cloud,

2013-11-07,"Worcester, MA",The Palladium,"Story of the Year, Hawthorne Heights, Set It Off, I Am King",Scream It Like You Mean It

2013-11-08,"Montreal, QC",Club Soda,"Story of the Year, Hawthorne Heights, Set It Off, I Am King",Scream It Like You Mean It

2013-11-09,"Toronto, ON",The Phoenix,"Story of the Year, Hawthorne Heights, Set It Off, I Am King",Scream It Like You Mean It

2013-11-28,"London, England",The Underworld,"Dream On Dreamer, Palisades",

2013-11-29,"Dordrecht, Netherlands",Bibelot,"Dream On Dreamer, Palisades",

2013-11-30,"Munster, Germany",Skaters Palace,"Dream On Dreamer, Palisades",

2013-12-02,"Stockholm, Sweden",Klubben,"Dream On Dreamer, Palisades",

2013-12-03,"Copenhagen, Denmark",Vega,"Dream On Dreamer, Palisades",

2013-12-04,"Hamburg, Germany",Knust,"Dream On Dreamer, Palisades",

2013-12-06,"Dresden, Germany",Scheune,"Dream On Dreamer, Palisades",

2013-12-07,"Nuremberg, Germany",Hirsch,"Dream On Dreamer, Palisades",

2013-12-08,"Graz, Austria",PPC,"Dream On Dreamer, Palisades",

2013-12-09,"Basel, Switzerland",Sommercasino,"Dream On Dreamer, Palisades",

2013-12-11,"Stuttgart, Germany",Universum,"Dream On Dreamer, Palisades",

2013-12-12,"Wiesbaden, Germany",Schlachthof,"Dream On Dreamer, Palisades",

2013-12-13,"Cologne, Germany",Essigfabrik,"Dream On Dreamer, Palisades",

2013-12-14,"Bochum, Germany",Matrix,"Dream On Dreamer, Palisades",

2013-12-15,"Antwerp, Belgium",Trix,"Dream On Dreamer, Palisades",

2014-01-02,"Brampton, ON",The Legion Hall,,

2014-01-03,"Tillsonburg, ON",The Legion Hall,"Seas, Foxfight, The Truth Today",

2014-01-04,"Welland, ON",Niagara Sports & Social Club,"Seas, Headshot, Bitter Kids",

2014-01-23,"Brockville, ON",Brockville Memorial Centre,"Colfax, Cynicist, Sykode, Prevail The Plague",

2014-01-24,"Cornwall, ON",Vu Night Spot,,

2014-01-25,"Chicoutimi, QC",Bar Le Pub,"Cardinals Pride, Aly The Band",

2014-01-26,"Quebec, QC",Le Circle,Cardinals Pride,

2014-01-27,"Sherbrooke, QC",Woodstock Bar,,

2014-02-20,"Halifax, NS",Michael's Bar & Grill,"Sleepshaker, Providence, Kings Girls",

2014-02-21,"Halifax, NS",The Pavillion,"Sleepshaker, Of Vice & Virtue, Predecessor",

2014-02-22,"St. John's, NL",The Rockhouse,"Bannerman, Deadgaard, Nuke�em",

2014-04-02,"Cincinnati, OH",Bogart’s,,

2014-04-03,"St. Louis, MO",Firebird,"Blinded Black, Smash Adams, Facing Infamy, New Lingo",

2014-04-04,"Oklahoma City, OK",Bricktown Music Hall,"Alice Awaits, Giraffe Massacre ",

2014-04-05,"Albuquerque, NM",Sunshine Theatre,"My Heart The Hero, Empty Sails, Good As Dead",

2014-04-06,"Tucson, AZ",The Rock,Heartist,

2014-04-08,"El Paso, TX",Tricky Falls,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-09,"Lubbock, TX",Jake's Sports Cafe,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-10,"San Antonio, TX",The White Rabbit,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-11,"Houston, TX",Fitzgerald's,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-12,"Dallas, TX",The Door,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-13,"Lawrence, KS",Granada Theatre,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-15,"Nashville, TN",Rocketown,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-16,"Atlanta, GA",The Masquerade,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-17,"St. Petersburg, FL",State Theatre,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-18,"Ft. Lauderdale, FL",Culture Room,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-19,"Jacksonville, FL",Freebird Live,"Blessthefall, The Amity Affliction, Secrets, Heartist",

2014-04-20,"Charlotte, NC",Tremont Music Hall,"Blessthefall, The Amity Affliction, Secrets, Heartist",
